	index	return	risk	AAPL	SPY	TSLA	WMT	MSFT	DIS
0	0	0.014448152467384645	0.03426098538098922	0.15	0.64	0.0	0.21	-0.0	-0.0
1	1	0.01457410339916289	0.03456860463130361	0.21	0.57	0.0	0.22	-0.0	-0.0
2	2	0.014700054330941134	0.035058807865886554	0.21	0.56	0.01	0.22	-0.0	-0.0
3	3	0.014826005262719379	0.035598217536099784	0.22	0.54	0.02	0.22	-0.0	-0.0
4	4	0.014951956194497623	0.03618463312604379	0.23	0.53	0.03	0.22	-0.0	-0.0
5	5	0.01507790712627587	0.03681580852207188	0.23	0.51	0.04	0.22	-0.0	-0.0
6	6	0.015203858058054114	0.03748948305525036	0.24	0.49	0.05	0.22	-0.0	-0.0
7	7	0.015329808989832359	0.03820340851697028	0.24	0.48	0.06	0.22	-0.0	-0.0
8	8	0.015455759921610603	0.03895537196366763	0.25	0.46	0.07	0.22	-0.0	-0.0
9	9	0.015581710853388848	0.03974321435527648	0.26	0.45	0.08	0.22	-0.0	-0.0
10	10	0.015707661785167092	0.04056484524437113	0.26	0.43	0.09	0.22	-0.0	-0.0
11	11	0.015833612716945337	0.04141825385091304	0.27	0.42	0.09	0.22	-0.0	-0.0
12	12	0.01595956364872358	0.04230151692748307	0.28	0.4	0.1	0.22	-0.0	-0.0
13	13	0.016085514580501826	0.04321280385050442	0.28	0.38	0.11	0.22	-0.0	-0.0
14	14	0.01621146551228007	0.044150379373531716	0.29	0.37	0.12	0.22	-0.0	-0.0
15	15	0.016337416444058315	0.04511260445795552	0.29	0.35	0.13	0.22	-0.0	-0.0
16	16	0.01646336737583656	0.04609793556203674	0.3	0.34	0.14	0.22	-0.0	-0.0
17	17	0.016589318307614804	0.04710492272716309	0.31	0.32	0.15	0.22	-0.0	-0.0
18	18	0.016715269239393052	0.04813220675525787	0.31	0.31	0.16	0.22	-0.0	-0.0
19	19	0.016841220171171296	0.04917851572667017	0.32	0.29	0.17	0.22	-0.0	-0.0
20	20	0.01696717110294954	0.05024266106581509	0.32	0.28	0.18	0.22	0.0	0.0
21	21	0.017093122034727785	0.05132353332360277	0.33	0.26	0.19	0.22	0.0	0.0
22	22	0.01721907296650603	0.05242009781192828	0.34	0.24	0.2	0.22	0.0	0.0
23	23	0.017345023898284274	0.053531390196349844	0.34	0.23	0.2	0.22	0.0	0.0
24	24	0.01747097483006252	0.054656512128420404	0.35	0.21	0.21	0.22	0.0	0.0
25	25	0.017596925761840763	0.05579462697861722	0.35	0.2	0.22	0.23	0.0	0.0
26	26	0.017722876693619008	0.056944955714009315	0.36	0.18	0.23	0.23	0.0	0.0
27	27	0.017848827625397252	0.058106772951236056	0.37	0.17	0.24	0.23	0.0	0.0
28	28	0.017974778557175497	0.05927940320457927	0.37	0.15	0.25	0.23	0.0	0.0
29	29	0.01810072948895374	0.06046221734045351	0.38	0.13	0.26	0.23	0.0	0.0
30	30	0.018226680420731986	0.06165462924311492	0.39	0.12	0.27	0.23	0.0	0.0
31	31	0.01835263135251023	0.06285609269145082	0.39	0.1	0.28	0.23	0.0	0.0
32	32	0.018478582284288475	0.06406609844305426	0.4	0.09	0.29	0.23	0.0	0.0
33	33	0.01860453321606672	0.06528417151915582	0.4	0.07	0.3	0.23	0.0	0.0
34	34	0.018730484147844964	0.06650986868216292	0.41	0.06	0.31	0.23	0.0	0.0
35	35	0.01885643507962321	0.06774277609637157	0.42	0.04	0.31	0.23	0.0	0.0
36	36	0.018982386011401453	0.06898250716171656	0.42	0.02	0.32	0.23	0.0	0.0
37	37	0.019108336943179698	0.07022870051010477	0.43	0.01	0.33	0.23	0.0	0.0
38	38	0.019234287874957942	0.07148149393642744	0.43	-0.0	0.34	0.23	-0.0	0.0
39	39	0.01936023880673619	0.0727447256574504	0.43	-0.0	0.35	0.22	-0.0	0.0
40	40	0.019486189738514435	0.07401883432112238	0.43	-0.0	0.36	0.21	-0.0	0.0
41	41	0.01961214067029268	0.07530326782566377	0.42	-0.0	0.37	0.2	-0.0	0.0
42	42	0.019738091602070924	0.07659750677323228	0.42	-0.0	0.38	0.2	-0.0	0.0
43	43	0.019864042533849168	0.07790106244598285	0.42	-0.0	0.39	0.19	-0.0	0.0
44	44	0.019989993465627413	0.07921347489055328	0.42	-0.0	0.4	0.18	-0.0	0.0
45	45	0.020115944397405657	0.08053431110989616	0.41	-0.0	0.41	0.17	-0.0	0.0
46	46	0.0202418953291839	0.08186316336021117	0.41	-0.0	0.42	0.17	-0.0	0.0
47	47	0.020367846260962146	0.08319964754986361	0.41	-0.0	0.43	0.16	-0.0	0.0
48	48	0.02049379719274039	0.08454340173655345	0.41	-0.0	0.44	0.15	-0.0	0.0
49	49	0.020619748124518635	0.08589408471856988	0.4	-0.0	0.45	0.14	-0.0	0.0
50	50	0.02074569905629688	0.08725137471569877	0.4	-0.0	0.46	0.14	-0.0	0.0
51	51	0.020871649988075124	0.08861496813520578	0.4	-0.0	0.47	0.13	-0.0	0.0
52	52	0.02099760091985337	0.08998457841826919	0.4	-0.0	0.48	0.12	-0.0	0.0
53	53	0.021123551851631617	0.09135993496226658	0.39	-0.0	0.49	0.11	-0.0	0.0
54	54	0.02124950278340986	0.09274078211440402	0.39	-0.0	0.5	0.1	-0.0	0.0
55	55	0.021375453715188106	0.09412687823230388	0.39	-0.0	0.51	0.1	-0.0	0.0
56	56	0.02150140464696635	0.0955179948073263	0.39	-0.0	0.52	0.09	-0.0	0.0
57	57	0.021627355578744595	0.0969139156465763	0.38	-0.0	0.53	0.08	-0.0	0.0
58	58	0.02175330651052284	0.09831443610974347	0.38	-0.0	0.54	0.07	-0.0	0.0
59	59	0.021879257442301084	0.09971936239711825	0.38	-0.0	0.55	0.07	-0.0	0.0
60	60	0.02200520837407933	0.10112851088533144	0.38	-0.0	0.56	0.06	-0.0	0.0
61	61	0.022131159305857573	0.10254170750756605	0.37	-0.0	0.57	0.05	-0.0	0.0
62	62	0.022257110237635817	0.10395878717518643	0.37	-0.0	0.58	0.04	-0.0	0.0
63	63	0.022383061169414062	0.10537959323792265	0.37	-0.0	0.59	0.04	-0.0	0.0
64	64	0.022509012101192306	0.10680397697993359	0.37	-0.0	0.6	0.03	-0.0	0.0
65	65	0.02263496303297055	0.10823179714924895	0.36	-0.0	0.61	0.02	-0.0	0.0
66	66	0.022760913964748795	0.10966291951825834	0.36	-0.0	0.62	0.01	-0.0	0.0
67	67	0.02288686489652704	0.11109721647307672	0.36	-0.0	0.63	0.01	-0.0	0.0
68	68	0.023012815828305284	0.11253470370968935	0.36	0.0	0.64	-0.0	0.0	-0.0
69	69	0.02313876676008353	0.11397889810074807	0.34	-0.0	0.66	-0.0	-0.0	-0.0
70	70	0.023264717691861773	0.11543115328062813	0.33	-0.0	0.67	-0.0	-0.0	-0.0
71	71	0.023390668623640018	0.11689116880813986	0.32	-0.0	0.68	-0.0	-0.0	-0.0
72	72	0.023516619555418262	0.11835865749987298	0.31	-0.0	0.69	-0.0	-0.0	-0.0
73	73	0.023642570487196507	0.1198333448052479	0.3	0.0	0.7	-0.0	-0.0	0.0
74	74	0.02376852141897475	0.12131496820861247	0.29	-0.0	0.71	-0.0	-0.0	-0.0
75	75	0.023894472350752996	0.12280327665783956	0.28	0.0	0.72	-0.0	0.0	0.0
76	76	0.02402042328253124	0.12429803001877837	0.27	-0.0	0.73	-0.0	-0.0	-0.0
77	77	0.024146374214309485	0.12579899855483107	0.26	-0.0	0.74	-0.0	-0.0	-0.0
78	78	0.024272325146087733	0.1273059624308683	0.24	-0.0	0.76	-0.0	-0.0	-0.0
79	79	0.024398276077865978	0.1288187112406538	0.23	-0.0	0.77	-0.0	-0.0	-0.0
80	80	0.024524227009644222	0.13033704355691916	0.22	0.0	0.78	-0.0	-0.0	-0.0
81	81	0.024650177941422467	0.1318607665032156	0.21	-0.0	0.79	-0.0	-0.0	0.0
82	82	0.02477612887320071	0.1333896953466604	0.2	-0.0	0.8	-0.0	-0.0	-0.0
83	83	0.024902079804978956	0.1349236531106989	0.19	-0.0	0.81	-0.0	-0.0	0.0
84	84	0.0250280307367572	0.13646247020701166	0.18	-0.0	0.82	0.0	0.0	0.0
85	85	0.025153981668535445	0.13800598408570885	0.17	-0.0	0.83	-0.0	-0.0	-0.0
86	86	0.02527993260031369	0.13955403890297227	0.16	0.0	0.84	-0.0	-0.0	-0.0
87	87	0.025405883532091937	0.14110648520532887	0.14	-0.0	0.86	-0.0	-0.0	-0.0
88	88	0.02553183446387018	0.14266317962975977	0.13	-0.0	0.87	-0.0	-0.0	-0.0
89	89	0.025657785395648426	0.14422398461887856	0.12	-0.0	0.88	-0.0	-0.0	-0.0
90	90	0.02578373632742667	0.14578876815043726	0.11	-0.0	0.89	0.0	-0.0	-0.0
91	91	0.025909687259204915	0.14735740348044746	0.1	-0.0	0.9	-0.0	-0.0	-0.0
92	92	0.02603563819098316	0.14892976889923265	0.09	-0.0	0.91	-0.0	-0.0	-0.0
93	93	0.026161589122761404	0.15050574749975604	0.08	-0.0	0.92	-0.0	-0.0	-0.0
94	94	0.02628754005453965	0.15208522695759705	0.07	-0.0	0.93	-0.0	0.0	0.0
95	95	0.026413490986317893	0.153668099321978	0.06	-0.0	0.94	-0.0	-0.0	-0.0
96	96	0.026539441918096138	0.1552542608172697	0.04	-0.0	0.96	-0.0	-0.0	-0.0
97	97	0.026665392849874382	0.15684361165443217	0.03	-0.0	0.97	-0.0	-0.0	-0.0
98	98	0.026791343781652627	0.15843605585187315	0.02	-0.0	0.98	-0.0	-0.0	0.0
99	99	0.02691729471343087	0.16003150106523226	0.01	-0.0	0.99	-0.0	-0.0	-0.0
100	100	0.027043245645209116	0.16162985839552224	0.0	0.0	1.0	0.0	-0.0	-0.0
