buy_month	sell_month	pints_purchased	expected_profit
2026-01-01	2026-02-01	204750	-248709.82499999984
2026-01-01	2026-03-01	200642	-391633.1197999999
2026-01-01	2026-04-01	196695	-377221.671
2026-01-01	2026-05-01	192901	-406943.94960000005
2026-01-01	2026-06-01	189250	-456660.24999999994
2026-01-01	2026-07-01	185735	-467253.5395000001
2026-01-01	2026-08-01	182348	-437088.15599999996
2026-01-01	2026-09-01	179083	-412517.69049999997
2026-01-01	2026-10-01	175932	-411293.8296
2026-01-01	2026-11-01	172890	-312239.3399999999
2026-01-01	2026-12-01	169952	-237049.0496
2026-02-01	2026-03-01	228466	-307263.9233999999
2026-02-01	2026-04-01	223363	-292784.2204000001
2026-02-01	2026-05-01	218483	-328292.55580000003
2026-02-01	2026-06-01	213812	-386144.4720000001
2026-02-01	2026-07-01	209336	-399559.62320000003
2026-02-01	2026-08-01	205044	-367028.7600000001
2026-02-01	2026-09-01	200924	-340867.56600000005
2026-02-01	2026-10-01	196966	-340908.75279999996
2026-02-01	2026-11-01	193162	-231601.23800000004
2026-02-01	2026-12-01	189501	-149288.88779999997
2026-03-01	2026-04-01	272553	-137039.64840000015
2026-03-01	2026-05-01	265322	-184292.6612000002
2026-03-01	2026-06-01	258464	-257947.07200000016
2026-03-01	2026-07-01	251952	-277323.56640000007
2026-03-01	2026-08-01	245760	-241336.32000000015
2026-03-01	2026-09-01	239865	-213120.05250000014
2026-03-01	2026-10-01	234246	-216162.20880000002
2026-03-01	2026-11-01	228885	-89494.0350000001
2026-03-01	2026-12-01	223763	4520.012599999999
2026-04-01	2026-05-01	261917	-194761.48120000007
2026-04-01	2026-06-01	255232	-267227.90400000004
2026-04-01	2026-07-01	248880	-286137.33599999995
2026-04-01	2026-08-01	242836	-250363.91600000003
2026-04-01	2026-09-01	237079	-222261.5625
2026-04-01	2026-10-01	231588	-225057.2183999999
2026-04-01	2026-11-01	226346	-99592.23999999999
2026-04-01	2026-12-01	221336	-6374.476799999888
2026-05-01	2026-06-01	269106	-227394.57000000007
2026-05-01	2026-07-01	262054	-248348.57580000005
2026-05-01	2026-08-01	255362	-211695.09800000006
2026-05-01	2026-09-01	249003	-183141.7065
2026-05-01	2026-10-01	242954	-187025.9891999999
2026-05-01	2026-11-01	237191	-56451.458
2026-05-01	2026-12-01	231696	40129.74720000011
2026-06-01	2026-07-01	286532	-178136.94440000004
2026-06-01	2026-08-01	278551	-140111.15300000002
2026-06-01	2026-09-01	271002	-110975.31900000012
2026-06-01	2026-10-01	263852	-117097.51759999999
2026-06-01	2026-11-01	257069	22622.07200000002
2026-06-01	2026-12-01	250626	125112.49920000002
2026-07-01	2026-08-01	286779	-114711.59999999998
2026-07-01	2026-09-01	278784	-85447.29600000006
2026-07-01	2026-10-01	271223	-92432.79840000006
2026-07-01	2026-11-01	264061	50435.65100000007
2026-07-01	2026-12-01	257267	154926.18740000008
2026-08-01	2026-09-01	268096	-120509.15200000012
2026-08-01	2026-10-01	261096	-126318.24480000012
2026-08-01	2026-11-01	254452	12213.695999999898
2026-08-01	2026-12-01	248138	113944.96960000001
2026-09-01	2026-10-01	253485	-151786.81800000006
2026-09-01	2026-11-01	247218	-16563.60599999993
2026-09-01	2026-12-01	241254	83039.62679999995
2026-10-01	2026-11-01	248880	-9955.199999999899
2026-10-01	2026-12-01	242836	90140.7232
2026-11-01	2026-12-01	211864	-48898.21119999988
